Month,Capacity (kW)
2007-01,3
2007-02,0
2007-03,1
2007-04,0
2007-05,5
2007-06,8
2007-07,6
2007-08,11
2007-09,8
2007-10,8
2007-11,12
2007-12,15
2008-01,29
2008-02,22
2008-03,15
2008-04,17
2008-05,14
2008-06,14
2008-07,42
2008-08,47
2008-09,49
2008-10,38
2008-11,44
2008-12,51
2009-01,28
2009-02,38
2009-03,32
2009-04,75
2009-05,43
2009-06,57
2009-07,41
2009-08,99
2009-09,119
2009-10,158
2009-11,105
2009-12,101
2010-01,94
2010-02,177
2010-03,282
2010-04,308
2010-05,367
2010-06,536
2010-07,231
2010-08,251
2010-09,206
2010-10,255
2010-11,288
2010-12,268
2011-01,392
2011-02,621
2011-03,971
2011-04,919
2011-05,1917
2011-06,3386
2011-07,615
2011-08,519
2011-09,265
2011-10,252
2011-11,178
2011-12,104
2012-01,97
2012-02,135
2012-03,163
2012-04,172
2012-05,299
2012-06,554
2012-07,155
2012-08,201
2012-09,191
2012-10,195
2012-11,294
2012-12,440
2013-01,239
2013-02,306
2013-03,392
2013-04,268
2013-05,325
2013-06,505
2013-07,742
2013-08,1375
2013-09,1570
2013-10,322
2013-11,370
2013-12,245
2014-01,148
2014-02,257
2014-03,117
2014-04,126
2014-05,606
2014-06,172
2014-07,268
2014-08,209
2014-09,387
2014-10,424
2014-11,341
2014-12,223
2015-01,284
2015-02,239
2015-03,370
2015-04,182
2015-05,330
2015-06,398
2015-07,283
2015-08,240
2015-09,290
2015-10,367
2015-11,215
2015-12,433
2016-01,208
2016-02,495
2016-03,532
2016-04,529
2016-05,228
2016-06,422
2016-07,239
2016-08,328
2016-09,2983
2016-10,323
2016-11,710
2016-12,609
2017-01,250
2017-02,333
2017-03,496
2017-04,437
2017-05,603
2017-06,437
2017-07,622
2017-08,657
2017-09,767
2017-10,858
2017-11,844
2017-12,1391
2018-01,837
2018-02,882
2018-03,971
2018-04,1423
2018-05,1418
2018-06,1208
2018-07,1164
2018-08,951
2018-09,1203
2018-10,1008
2018-11,1668
2018-12,1172
2019-01,830
2019-02,1370
2019-03,911
2019-04,1142
2019-05,1315
2019-06,1100
2019-07,1069
2019-08,1060
2019-09,1660
2019-10,1856
2019-11,1945
2019-12,3502
2020-01,1211
2020-02,2245
2020-03,2096
2020-04,1858
2020-05,2251
2020-06,1978
2020-07,2188
2020-08,2329
2020-09,2291
2020-10,2474
2020-11,2699
2020-12,2829
2021-01,1481
2021-02,2091
2021-03,1304
