Year,Date,Day,Holiday,Type,Other
2010,1-Jan,Friday,New Year's Day,National Holiday,
2010,26-Jan,Tuesday,Australia Day,National Holiday,
2010,2-Apr,Friday,Good Friday,National Holiday,
2010,4-Apr,Sunday,Easter Sunday,State Holiday,NSW
2010,5-Apr,Monday,Easter Monday,National Holiday,
2010,26-Apr,Monday,ANZAC Day,Common State holiday,NSWand NTand Qldand SA
2010,14-Jun,Monday,Queen's Birthday,State Holiday,All except Christmas Islandand Norfolk Islandand Qldand WA
2010,2-Aug,Monday,New South Wales Bank Holiday,State Bank Holiday,NSW
2010,4-Oct,Monday,Labour Day,Common State holiday,ACTand NSW
2010,25-Dec,Saturday,Christmas Day,National Holiday,
2010,26-Dec,Sunday,Boxing Day,National Holiday,
2011,1-Jan,Saturday,New Year's Day,National Holiday,
2011,3-Jan,Monday,Day off for New Year's Day,State Holiday,All except Heard and McDonald Islands
2011,26-Jan,Wednesday,Australia Day,National Holiday,
2011,22-Apr,Friday,Good Friday,National Holiday,
2011,24-Apr,Sunday,Easter Sunday,State Holiday,NSW
2011,25-Apr,Monday,Easter Monday,National Holiday,
2011,25-Apr,Monday,ANZAC Day,National Holiday,All except NTand WA
2011,26-Apr,Tuesday,Additional Public Holiday,National Holiday,All except Tas
2011,13-Jun,Monday,Queen's Birthday,State Holiday,All except Christmas Islandand Norfolk Islandand Qldand WA
2011,1-Aug,Monday,New South Wales Bank Holiday,State Bank Holiday,NSW
2011,3-Oct,Monday,Labour Day,Common State holiday,ACTand NSW
2011,25-Dec,Sunday,Christmas Day,National Holiday,
2011,26-Dec,Monday,Boxing Day,National Holiday,
2012,1-Jan,Saturday,New Year's Day,National Holiday,
2012,3-Jan,Monday,Day off for New Year's Day,State Holiday,All except Heard and McDonald Islands
2012,26-Jan,Wednesday,Australia Day,National Holiday,
2012,22-Apr,Friday,Good Friday,National Holiday,
2012,24-Apr,Sunday,Easter Sunday,State Holiday,NSW
2012,25-Apr,Monday,Easter Monday,National Holiday,
2012,25-Apr,Monday,ANZAC Day,National Holiday,All except NTand WA
2012,26-Apr,Tuesday,Additional Public Holiday,National Holiday,All except Tas
2012,13-Jun,Monday,Queen's Birthday,State Holiday,All except Christmas Islandand Norfolk Islandand Qldand WA
2012,1-Aug,Monday,New South Wales Bank Holiday,State Bank Holiday,NSW
2012,3-Oct,Monday,Labour Day,Common State holiday,ACTand NSW
2012,25-Dec,Sunday,Christmas Day,National Holiday,
2012,26-Dec,Monday,Boxing Day,National Holiday,
2013,1-Jan,Tuesday,New Year's Day,National Holiday,
2013,26-Jan,Saturday,Australia Day,National Holiday,
2013,28-Jan,Monday,Australia Day Observed,State Holiday,All except Christmas Islandand Heard and McDonald Islands
2013,29-Mar,Friday,Good Friday,National Holiday,
2013,31-Mar,Sunday,Easter Sunday,State Holiday,NSW
2013,1-Apr,Monday,Easter Monday,National Holiday,
2013,25-Apr,Thursday,ANZAC Day,National Holiday,All except NTand WA
2013,10-Jun,Monday,Queen's Birthday,State Holiday,All except Christmas Islandand Norfolk Islandand Qldand WA
2013,5-Aug,Monday,New South Wales Bank Holiday,State Bank Holiday,NSW
2013,7-Oct,Monday,Labour Day,State Holiday,ACTand NSWand Qldand SA
2013,25-Dec,Wednesday,Christmas Day,National Holiday,
2013,26-Dec,Thursday,Boxing Day,National Holiday,
2014,1-Jan,Wednesday,New Year's Day,National Holiday,
2014,26-Jan,Sunday,Australia Day,National Holiday,
2014,27-Jan,Monday,Australia Day Observed,State Holiday,All except Christmas Islandand Heard and McDonald Islands
2014,18-Apr,Friday,Good Friday,National Holiday,
2014,20-Apr,Sunday,Easter Sunday,State Holiday,NSW
2014,21-Apr,Monday,Easter Monday,National Holiday,
2014,25-Apr,Friday,ANZAC Day,National Holiday,All except NTand WA
2014,9-Jun,Monday,Queen's Birthday,State Holiday,All except Christmas Islandand Norfolk Islandand Qldand WA
2014,4-Aug,Monday,New South Wales Bank Holiday,State Bank Holiday,NSW
