Month,<2.5kW,2.5–4.5,4.5–6.5,6.5–9.5,9.5–14,14–25,25–50,50–100,100kW–5MW,5MW–30MW,30+ MW,Total Size (KW)
2007-01,11,15,0,0,0,0,0,0,0,0,0,26
2007-02,35,22,5,7,0,0,0,0,0,0,0,69
2007-03,66,28,5,14,0,0,0,0,0,0,0,113
2007-04,88,38,5,27,0,0,0,0,0,0,0,158
2007-05,120,55,10,27,0,0,0,0,0,0,0,212
2007-06,173,61,15,27,0,0,0,0,0,0,0,276
2007-07,274,78,20,27,0,0,0,0,0,0,0,399
2007-08,372,105,37,27,0,0,0,0,0,0,0,541
2007-09,499,150,52,27,0,0,0,0,0,0,0,728
2007-10,630,205,68,27,0,0,0,0,0,0,0,930
2007-11,785,241,68,27,0,0,0,0,0,0,0,1121
2007-12,914,284,73,27,0,0,0,64,0,0,0,1362
2008-01,1063,324,73,27,0,0,0,163,0,0,0,1650
2008-02,1270,373,78,27,0,0,0,163,0,0,0,1911
2008-03,1491,411,96,41,0,0,0,163,0,0,0,2202
2008-04,1705,445,108,48,0,0,36,163,0,0,0,2505
2008-05,1983,486,118,56,0,0,36,163,0,0,0,2842
2008-06,2220,513,135,56,0,0,36,163,0,0,0,3123
2008-07,2504,575,156,56,12,0,36,163,0,0,0,3502
2008-08,2808,636,156,63,23,0,36,163,0,0,0,3885
2008-09,3108,707,189,94,33,0,36,163,0,0,0,4330
2008-10,3483,801,205,102,43,0,36,163,0,0,0,4833
2008-11,3896,857,210,110,43,0,36,163,0,0,0,5315
2008-12,4432,979,242,125,54,0,36,163,0,0,0,6031
2009-01,4955,1046,262,132,54,0,36,163,0,0,0,6648
2009-02,5674,1130,273,139,54,43,36,163,0,0,0,7512
2009-03,6540,1221,301,139,54,58,36,263,0,0,0,8612
2009-04,7431,1338,418,146,102,81,36,263,0,0,0,9815
2009-05,8434,1468,462,160,122,81,36,263,0,0,0,11026
2009-06,9491,1575,515,167,122,98,36,263,0,0,0,12267
2009-07,10670,1677,591,188,132,98,70,263,0,0,0,13689
2009-08,12286,1836,637,201,142,98,107,263,0,0,0,15570
2009-09,14320,2027,732,208,152,98,107,263,0,0,0,17907
2009-10,16397,2267,874,238,152,122,164,263,0,0,0,20477
2009-11,18875,2533,1096,277,172,122,164,263,0,0,0,23502
2009-12,21010,2897,1293,307,264,162,200,314,0,0,0,26447
2010-01,23124,3237,1444,353,396,162,200,314,0,0,0,29230
2010-02,25987,3929,1711,431,596,222,200,314,0,0,0,33390
2010-03,30065,5062,2262,527,998,327,260,314,0,0,0,39815
2010-04,34880,6682,2740,623,1423,347,260,314,0,0,0,47269
2010-05,41168,8668,3331,833,2125,367,260,314,0,0,0,57066
2010-06,49124,11694,4406,1195,3535,367,289,514,0,0,0,71124
2010-07,57694,15079,5793,1629,4865,404,319,514,0,0,0,86297
2010-08,66984,18917,7382,2137,6501,404,449,579,0,0,0,103353
2010-09,77455,23500,9103,2516,8273,420,521,579,0,0,0,122367
2010-10,89416,28542,11084,3208,9939,457,551,579,0,0,0,143776
2010-11,102918,34677,13449,3701,11860,473,614,579,0,0,0,168271
2010-12,111949,38709,14938,4146,13676,492,614,579,0,0,0,185103
2011-01,126375,45784,17592,4764,16862,553,751,579,0,0,0,213260
2011-02,140362,52285,20221,5589,19866,608,841,721,0,0,0,240493
2011-03,155059,59328,23345,6314,24274,706,1017,721,0,0,0,270764
2011-04,167352,64893,25609,7079,28664,779,1047,721,0,0,0,296144
2011-05,184288,71825,28100,7711,32961,875,1197,721,0,0,0,327678
2011-06,205220,81218,31117,8315,35967,1139,1402,721,0,0,0,365099
2011-07,207942,82634,31674,8511,36804,1318,1532,721,0,0,0,371136
2011-08,210339,83971,32097,8620,37517,1421,1631,721,0,0,0,376317
2011-09,212501,85098,32457,8813,38137,1482,1631,721,237,0,0,381077
2011-10,214685,86531,32871,8907,38797,1588,1909,721,237,0,0,386246
2011-11,217013,88229,33507,9025,40153,1664,1968,772,237,0,0,392568
2011-12,219290,89810,34148,9228,40552,1808,2045,822,237,0,0,397940
2012-01,221153,91063,34581,9393,40798,1906,2247,948,237,0,0,402326
2012-02,223870,92880,35189,9655,41349,2013,2319,948,237,0,0,408460
2012-03,227752,95252,35992,9943,41835,2127,2379,1047,237,0,0,416564
2012-04,232158,97821,36850,10260,42308,2186,2409,1047,237,0,0,425276
2012-05,240922,103535,38806,10586,42964,2380,2571,1189,237,0,0,443190
2012-06,254828,113052,42699,11180,45322,3011,2924,1496,237,0,0,474749
2012-07,258283,115982,43778,11341,45577,3277,3132,1612,237,0,0,483219
2012-08,261918,119185,45212,11870,45860,3449,3272,1662,237,0,0,492665
2012-09,265165,122378,46667,12369,46292,3761,3464,1825,237,0,0,502158
2012-10,268447,126383,48585,12850,46679,4024,3589,2366,437,0,0,513360
2012-11,272304,131445,50951,13282,47205,4295,3929,2777,437,0,0,526625
2012-12,277800,139964,55083,13918,48359,4899,4379,3179,437,0,0,548018
2013-01,279970,143964,57170,14210,48927,5195,4509,3658,579,0,0,558182
2013-02,282333,148569,59675,14573,49779,5746,4670,3966,779,0,0,570090
2013-03,284365,152736,62023,15097,50417,6167,5103,4874,879,0,0,581661
2013-04,285988,156547,64312,15399,51145,6515,5515,5583,1179,0,0,592183
2013-05,287969,160950,67246,15960,51935,6984,6043,6345,1179,0,0,604611
2013-06,289441,164596,69418,16425,52812,7587,6648,6649,1525,0,0,615101
2013-07,291266,169121,72582,16844,53578,8300,7283,7347,1725,0,0,628046
2013-08,292954,173871,76240,17393,54471,9032,7969,7807,2165,0,0,641902
2013-09,294598,178451,79569,17989,55508,9694,8660,8541,2865,0,0,655875
2013-10,296275,183069,82587,18449,56563,10491,9556,9486,2865,0,0,669341
2013-11,297826,187016,85573,18906,57366,11221,10109,10530,3165,13306,0,695018
2013-12,298978,190593,88436,19447,58160,12068,11056,11683,6252,13306,0,709979
2014-01,300184,193638,90797,19734,58741,12610,11506,12497,6477,13306,0,719490
2014-02,301535,197350,93384,20151,59431,13049,12032,13338,7016,13306,0,730592
2014-03,302871,201379,96204,20484,60103,13660,12779,14664,7116,13306,0,742566
2014-04,304288,205302,99343,20791,60846,14176,13517,15299,8002,13306,0,754870
2014-05,305680,210158,103402,21218,61834,14908,14393,17059,9461,33306,0,791419
2014-06,306992,214544,107218,21692,62726,15805,15244,18341,9730,33306,0,805598
