Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Blacktown (NSW),2019-01-01 06:00:00 +1000,,,21.0,0.166
Blacktown (NSW),2019-01-01 07:00:00 +1000,,,24.9,1.744
Blacktown (NSW),2019-01-01 08:00:00 +1000,,,27.8,5.703
Blacktown (NSW),2019-01-01 09:00:00 +1000,,,29.1,9.518
Blacktown (NSW),2019-01-01 10:00:00 +1000,,,30.7,12.205
Blacktown (NSW),2019-01-01 11:00:00 +1000,,,32.1,13.824
Blacktown (NSW),2019-01-01 12:00:00 +1000,,,32.5,14.325
Blacktown (NSW),2019-01-01 13:00:00 +1000,,,33.3,14.569
Blacktown (NSW),2019-01-01 14:00:00 +1000,,,33.4,13.846
Blacktown (NSW),2019-01-01 15:00:00 +1000,,,33.4,12.036
Blacktown (NSW),2019-01-01 16:00:00 +1000,,,33.1,9.258
Blacktown (NSW),2019-01-01 17:00:00 +1000,,,32.5,5.427
Blacktown (NSW),2019-01-01 18:00:00 +1000,,,31.4,1.685
Blacktown (NSW),2019-01-01 19:00:00 +1000,,,29.0,0.396
Blacktown (NSW),2019-01-01 20:00:00 +1000,,,26.6,0.031
Blacktown (NSW),2019-01-02 06:00:00 +1000,,,21.3,0.222
Blacktown (NSW),2019-01-02 07:00:00 +1000,,,22.8,1.333
Blacktown (NSW),2019-01-02 08:00:00 +1000,,,23.6,3.029
Blacktown (NSW),2019-01-02 09:00:00 +1000,,,26.0,7.516
Blacktown (NSW),2019-01-02 10:00:00 +1000,,,28.1,12.24
Blacktown (NSW),2019-01-02 11:00:00 +1000,,,29.7,13.573
Blacktown (NSW),2019-01-02 12:00:00 +1000,,,30.9,12.963
Blacktown (NSW),2019-01-02 13:00:00 +1000,,,32.0,14.571
Blacktown (NSW),2019-01-02 14:00:00 +1000,,,29.3,13.791
Blacktown (NSW),2019-01-02 15:00:00 +1000,,,26.6,3.293
Blacktown (NSW),2019-01-02 16:00:00 +1000,,,24.9,0.442
Blacktown (NSW),2019-01-02 17:00:00 +1000,,,26.4,2.993
Blacktown (NSW),2019-01-02 18:00:00 +1000,,,24.6,3.198
Blacktown (NSW),2019-01-02 19:00:00 +1000,,,23.7,0.472
Blacktown (NSW),2019-01-02 20:00:00 +1000,,,23.4,0.013
Blacktown (NSW),2019-01-03 06:00:00 +1000,,,21.8,0.153
Blacktown (NSW),2019-01-03 07:00:00 +1000,,,22.5,0.961
Blacktown (NSW),2019-01-03 08:00:00 +1000,,,23.7,3.215
Blacktown (NSW),2019-01-03 09:00:00 +1000,,,26.2,6.608
Blacktown (NSW),2019-01-03 10:00:00 +1000,,,26.6,12.62
Blacktown (NSW),2019-01-03 11:00:00 +1000,,,27.6,13.181
Blacktown (NSW),2019-01-03 12:00:00 +1000,,,28.5,10.479
