Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Newtown (NSW),2017-02-25 23:00:00 +1000,0.0,0.0,19.1,
Newtown (NSW),2017-02-26 00:00:00 +1000,0.01,0.0,19.3,
Newtown (NSW),2017-02-26 01:00:00 +1000,0.04,0.0,19.0,
Newtown (NSW),2017-02-26 02:00:00 +1000,0.0,0.0,19.0,
Newtown (NSW),2017-02-26 03:00:00 +1000,0.02,0.0,19.2,
Newtown (NSW),2017-02-26 04:00:00 +1000,0.08,0.0,18.8,
Newtown (NSW),2017-02-26 05:00:00 +1000,0.09,0.0,18.6,
Newtown (NSW),2017-02-26 06:00:00 +1000,0.53,0.0,18.6,0.0
Newtown (NSW),2017-02-26 07:00:00 +1000,23.7,0.0,19.7,0.05
Newtown (NSW),2017-02-26 08:00:00 +1000,114.69,0.0,20.7,0.459
Newtown (NSW),2017-02-26 09:00:00 +1000,219.17,0.0,21.8,0.929
Newtown (NSW),2017-02-26 10:00:00 +1000,235.2,0.0,22.6,1.003
Newtown (NSW),2017-02-26 11:00:00 +1000,459.88,0.0,23.3,2.01
Newtown (NSW),2017-02-26 12:00:00 +1000,496.46,0.0,23.4,2.185
Newtown (NSW),2017-02-26 13:00:00 +1000,814.45,0.0,24.3,3.428
Newtown (NSW),2017-02-26 14:00:00 +1000,957.83,0.0,24.3,4.022
Newtown (NSW),2017-02-26 15:00:00 +1000,843.12,0.0,24.6,3.649
Newtown (NSW),2017-02-26 16:00:00 +1000,620.73,0.0,23.5,2.768
Newtown (NSW),2017-02-26 17:00:00 +1000,386.11,0.0,22.8,1.815
Newtown (NSW),2017-02-26 18:00:00 +1000,127.86,0.0,22.7,0.594
Newtown (NSW),2017-02-26 19:00:00 +1000,37.41,0.0,22.1,0.155
Newtown (NSW),2017-02-26 20:00:00 +1000,0.0,0.0,20.9,
Newtown (NSW),2017-02-26 21:00:00 +1000,0.0,0.0,21.1,
Newtown (NSW),2017-02-26 22:00:00 +1000,0.0,0.0,19.6,
Newtown (NSW),2017-02-26 23:00:00 +1000,0.02,0.0,19.1,
Newtown (NSW),2017-02-27 00:00:00 +1000,0.0,0.0,18.9,
Newtown (NSW),2017-02-27 01:00:00 +1000,0.0,0.0,19.0,
Newtown (NSW),2017-02-27 02:00:00 +1000,0.0,0.0,18.9,
Newtown (NSW),2017-02-27 03:00:00 +1000,0.0,0.0,19.1,
Newtown (NSW),2017-02-27 04:00:00 +1000,0.0,0.0,20.7,
Newtown (NSW),2017-02-27 05:00:00 +1000,0.0,0.0,20.7,
Newtown (NSW),2017-02-27 06:00:00 +1000,0.38,0.0,20.7,0.0
Newtown (NSW),2017-02-27 07:00:00 +1000,32.27,0.0,22.3,0.089
Newtown (NSW),2017-02-27 08:00:00 +1000,96.3,0.0,23.3,0.362
Newtown (NSW),2017-02-27 09:00:00 +1000,177.9,0.0,23.1,0.751
Newtown (NSW),2017-02-27 10:00:00 +1000,335.08,0.0,24.0,1.447
Newtown (NSW),2017-02-27 11:00:00 +1000,572.72,0.0,24.8,2.322
Newtown (NSW),2017-02-27 12:00:00 +1000,657.58,0.0,26.4,2.728
Newtown (NSW),2017-02-27 13:00:00 +1000,596.08,0.0,25.4,2.426
Newtown (NSW),2017-02-27 14:00:00 +1000,806.63,0.0,25.6,3.129
Newtown (NSW),2017-02-27 15:00:00 +1000,682.69,0.0,26.1,2.92
Newtown (NSW),2017-02-27 16:00:00 +1000,422.43,0.0,25.3,1.874
Newtown (NSW),2017-02-27 17:00:00 +1000,369.94,0.0,24.0,1.721
Newtown (NSW),2017-02-27 18:00:00 +1000,136.54,0.0,23.2,0.642
Newtown (NSW),2017-02-27 19:00:00 +1000,18.81,0.0,22.2,0.038
Newtown (NSW),2017-02-27 20:00:00 +1000,0.0,0.0,22.1,
Newtown (NSW),2017-02-27 21:00:00 +1000,0.0,0.0,21.5,
Newtown (NSW),2017-02-27 22:00:00 +1000,0.0,0.0,21.9,
Newtown (NSW),2017-02-27 23:00:00 +1000,0.0,0.0,21.6,
Newtown (NSW),2017-02-28 00:00:00 +1000,0.0,0.0,21.2,
Newtown (NSW),2017-02-28 01:00:00 +1000,0.0,0.0,20.9,
Newtown (NSW),2017-02-28 02:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-02-28 03:00:00 +1000,0.02,0.0,21.7,
Newtown (NSW),2017-02-28 04:00:00 +1000,0.02,0.0,22.0,
Newtown (NSW),2017-02-28 05:00:00 +1000,0.0,0.0,22.2,
Newtown (NSW),2017-02-28 06:00:00 +1000,0.21,0.0,22.0,0.0
Newtown (NSW),2017-02-28 07:00:00 +1000,31.98,0.0,24.0,0.088
Newtown (NSW),2017-02-28 08:00:00 +1000,175.57,0.0,25.1,0.698
Newtown (NSW),2017-02-28 09:00:00 +1000,309.15,0.0,25.4,1.148
Newtown (NSW),2017-02-28 10:00:00 +1000,385.71,0.0,23.2,1.506
Newtown (NSW),2017-02-28 11:00:00 +1000,468.64,0.0,24.4,1.773
Newtown (NSW),2017-02-28 12:00:00 +1000,627.36,0.0,25.3,2.612
Newtown (NSW),2017-02-28 13:00:00 +1000,805.79,0.0,25.5,3.3
Newtown (NSW),2017-02-28 14:00:00 +1000,528.52,0.0,26.4,2.175
Newtown (NSW),2017-02-28 15:00:00 +1000,578.79,0.0,22.0,2.423
Newtown (NSW),2017-02-28 16:00:00 +1000,307.06,0.0,23.6,1.292
Newtown (NSW),2017-02-28 17:00:00 +1000,375.08,0.0,24.9,1.715
Newtown (NSW),2017-02-28 18:00:00 +1000,92.62,0.0,24.5,0.36
Newtown (NSW),2017-02-28 19:00:00 +1000,18.0,0.0,23.7,0.035
Newtown (NSW),2017-02-28 20:00:00 +1000,0.0,0.0,23.2,
Newtown (NSW),2017-02-28 21:00:00 +1000,0.15,0.0,23.1,
Newtown (NSW),2017-02-28 22:00:00 +1000,0.0,0.0,23.2,
Newtown (NSW),2017-02-28 23:00:00 +1000,0.0,0.0,22.7,
Newtown (NSW),2017-03-01 00:00:00 +1000,0.0,0.0,22.8,
Newtown (NSW),2017-03-01 01:00:00 +1000,0.0,0.0,22.9,
Newtown (NSW),2017-03-01 02:00:00 +1000,0.0,0.0,22.6,
Newtown (NSW),2017-03-01 03:00:00 +1000,0.0,0.0,21.9,
Newtown (NSW),2017-03-01 04:00:00 +1000,0.0,0.0,21.9,
Newtown (NSW),2017-03-01 05:00:00 +1000,0.0,0.0,21.3,
Newtown (NSW),2017-03-01 06:00:00 +1000,0.04,0.0,21.3,
Newtown (NSW),2017-03-01 07:00:00 +1000,32.78,0.0,20.8,0.083
Newtown (NSW),2017-03-01 08:00:00 +1000,29.11,0.0,21.4,0.051
Newtown (NSW),2017-03-01 09:00:00 +1000,114.95,0.0,21.9,0.407
Newtown (NSW),2017-03-01 10:00:00 +1000,291.91,0.0,23.4,1.194
Newtown (NSW),2017-03-01 11:00:00 +1000,371.41,0.0,24.2,1.578
Newtown (NSW),2017-03-01 12:00:00 +1000,306.32,0.0,26.1,1.282
Newtown (NSW),2017-03-01 13:00:00 +1000,794.91,0.0,26.1,3.412
Newtown (NSW),2017-03-01 14:00:00 +1000,542.44,0.0,25.0,2.274
Newtown (NSW),2017-03-01 15:00:00 +1000,498.51,0.0,25.0,2.139
Newtown (NSW),2017-03-01 16:00:00 +1000,349.35,0.0,24.7,1.503
Newtown (NSW),2017-03-01 17:00:00 +1000,212.32,0.0,24.8,0.912
Newtown (NSW),2017-03-01 18:00:00 +1000,101.98,0.0,23.8,0.424
Newtown (NSW),2017-03-01 19:00:00 +1000,12.8,0.0,23.5,0.018
Newtown (NSW),2017-03-01 20:00:00 +1000,0.0,0.0,23.3,
Newtown (NSW),2017-03-01 21:00:00 +1000,0.0,0.0,23.1,
Newtown (NSW),2017-03-01 22:00:00 +1000,0.0,0.0,22.1,
Newtown (NSW),2017-03-01 23:00:00 +1000,0.0,0.0,21.3,
Newtown (NSW),2017-03-02 00:00:00 +1000,0.0,0.0,20.9,
Newtown (NSW),2017-03-02 01:00:00 +1000,0.0,0.0,21.1,
Newtown (NSW),2017-03-02 02:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-02 03:00:00 +1000,0.0,0.0,20.8,
Newtown (NSW),2017-03-02 04:00:00 +1000,0.0,0.0,20.5,
Newtown (NSW),2017-03-02 05:00:00 +1000,0.0,0.0,20.7,
Newtown (NSW),2017-03-02 06:00:00 +1000,0.14,0.0,20.6,
Newtown (NSW),2017-03-02 07:00:00 +1000,43.25,0.0,21.3,0.14
Newtown (NSW),2017-03-02 08:00:00 +1000,159.44,0.0,23.0,0.641
Newtown (NSW),2017-03-02 09:00:00 +1000,368.99,0.0,23.1,1.257
Newtown (NSW),2017-03-02 10:00:00 +1000,470.86,0.0,25.0,1.66
Newtown (NSW),2017-03-02 11:00:00 +1000,117.99,0.0,24.6,0.452
Newtown (NSW),2017-03-02 12:00:00 +1000,346.34,0.0,24.7,1.426
Newtown (NSW),2017-03-02 13:00:00 +1000,285.79,0.0,24.7,1.165
Newtown (NSW),2017-03-02 14:00:00 +1000,291.89,0.0,25.0,1.199
Newtown (NSW),2017-03-02 15:00:00 +1000,235.27,0.0,24.9,0.974
Newtown (NSW),2017-03-02 16:00:00 +1000,358.52,0.0,24.9,1.537
Newtown (NSW),2017-03-02 17:00:00 +1000,306.58,0.0,24.6,1.382
Newtown (NSW),2017-03-02 18:00:00 +1000,99.55,0.0,24.0,0.417
Newtown (NSW),2017-03-02 19:00:00 +1000,12.65,0.0,23.6,0.015
Newtown (NSW),2017-03-02 20:00:00 +1000,0.0,0.0,23.4,
Newtown (NSW),2017-03-02 21:00:00 +1000,0.0,0.0,23.4,
Newtown (NSW),2017-03-02 22:00:00 +1000,0.0,0.0,21.2,
Newtown (NSW),2017-03-02 23:00:00 +1000,0.0,0.0,20.9,
Newtown (NSW),2017-03-03 00:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-03 01:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-03 02:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-03 03:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-03 04:00:00 +1000,0.0,0.0,20.8,
Newtown (NSW),2017-03-03 05:00:00 +1000,0.0,0.0,21.0,
Newtown (NSW),2017-03-03 06:00:00 +1000,0.0,0.0,21.1,
Newtown (NSW),2017-03-03 07:00:00 +1000,11.04,0.0,21.2,0.014
Newtown (NSW),2017-03-03 08:00:00 +1000,59.93,0.0,21.7,0.167
Newtown (NSW),2017-03-03 09:00:00 +1000,148.98,0.0,22.6,0.567
Newtown (NSW),2017-03-03 10:00:00 +1000,472.3,0.0,23.8,1.859
Newtown (NSW),2017-03-03 11:00:00 +1000,542.7,0.0,23.9,1.858
Newtown (NSW),2017-03-03 12:00:00 +1000,230.78,0.0,22.7,0.886
Newtown (NSW),2017-03-03 13:00:00 +1000,211.37,0.0,23.7,0.838
Newtown (NSW),2017-03-03 14:00:00 +1000,286.55,0.0,22.2,1.191
Newtown (NSW),2017-03-03 15:00:00 +1000,133.43,0.0,21.6,0.503
Newtown (NSW),2017-03-03 16:00:00 +1000,123.11,0.0,22.5,0.395
Newtown (NSW),2017-03-03 17:00:00 +1000,57.96,0.0,22.6,0.171
Newtown (NSW),2017-03-03 18:00:00 +1000,40.84,0.0,22.9,0.11
Newtown (NSW),2017-03-03 19:00:00 +1000,0.52,0.0,21.3,0.0
Newtown (NSW),2017-03-03 20:00:00 +1000,0.0,0.0,21.2,
Newtown (NSW),2017-03-03 21:00:00 +1000,0.0,0.0,21.8,
Newtown (NSW),2017-03-03 22:00:00 +1000,0.0,0.0,21.8,
Newtown (NSW),2017-03-03 23:00:00 +1000,0.0,0.0,21.9,
Newtown (NSW),2017-03-04 00:00:00 +1000,0.0,0.0,21.8,
Newtown (NSW),2017-03-04 01:00:00 +1000,0.0,0.0,21.7,
Newtown (NSW),2017-03-04 02:00:00 +1000,0.0,0.0,20.5,
Newtown (NSW),2017-03-04 03:00:00 +1000,0.0,0.0,20.0,
Newtown (NSW),2017-03-04 04:00:00 +1000,0.0,0.0,20.5,
Newtown (NSW),2017-03-04 05:00:00 +1000,0.0,0.0,20.6,
Newtown (NSW),2017-03-04 06:00:00 +1000,0.0,0.0,20.8,
Newtown (NSW),2017-03-04 07:00:00 +1000,27.56,0.0,21.3,0.072
Newtown (NSW),2017-03-04 08:00:00 +1000,70.24,0.0,21.5,0.242
Newtown (NSW),2017-03-04 09:00:00 +1000,78.17,0.0,21.4,0.248
Newtown (NSW),2017-03-04 10:00:00 +1000,230.49,0.0,22.5,0.934
Newtown (NSW),2017-03-04 11:00:00 +1000,280.17,0.0,22.9,1.176
Newtown (NSW),2017-03-04 12:00:00 +1000,264.82,0.0,22.4,1.074
Newtown (NSW),2017-03-04 13:00:00 +1000,182.12,0.0,21.4,0.707
Newtown (NSW),2017-03-04 14:00:00 +1000,147.04,0.0,20.9,0.547
Newtown (NSW),2017-03-04 15:00:00 +1000,160.03,0.0,21.6,0.614
Newtown (NSW),2017-03-04 16:00:00 +1000,194.11,0.0,22.1,0.792
Newtown (NSW),2017-03-04 17:00:00 +1000,126.37,0.0,21.6,0.49
Newtown (NSW),2017-03-04 18:00:00 +1000,43.6,0.0,21.4,0.122
Newtown (NSW),2017-03-04 19:00:00 +1000,10.78,0.0,21.3,0.028
Newtown (NSW),2017-03-04 20:00:00 +1000,0.0,0.0,21.1,
Newtown (NSW),2017-03-04 21:00:00 +1000,0.0,0.0,20.6,
Newtown (NSW),2017-03-04 22:00:00 +1000,0.0,0.0,20.2,
Newtown (NSW),2017-03-04 23:00:00 +1000,0.0,0.0,20.7,
