Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Sutherland (NSW),2012-01-01 00:00:00 +1000,0.0,17.859,,
Sutherland (NSW),2012-01-01 01:00:00 +1000,0.0,17.286,,
Sutherland (NSW),2012-01-01 02:00:00 +1000,0.0,16.798,,
Sutherland (NSW),2012-01-01 03:00:00 +1000,0.0,16.772,,
Sutherland (NSW),2012-01-01 04:00:00 +1000,0.0,16.496,,
Sutherland (NSW),2012-01-01 05:00:00 +1000,2.038,16.155,,0.0
Sutherland (NSW),2012-01-01 06:00:00 +1000,56.763,16.23,,0.17
Sutherland (NSW),2012-01-01 07:00:00 +1000,260.689,18.609,,0.96
Sutherland (NSW),2012-01-01 08:00:00 +1000,501.717,21.085,,2.58
Sutherland (NSW),2012-01-01 09:00:00 +1000,696.322,22.949,,3.49
Sutherland (NSW),2012-01-01 10:00:00 +1000,842.34,24.764,,4.1
Sutherland (NSW),2012-01-01 11:00:00 +1000,930.993,26.546,,4.46
Sutherland (NSW),2012-01-01 12:00:00 +1000,955.48,26.921,,4.5
Sutherland (NSW),2012-01-01 13:00:00 +1000,923.158,26.409,,4.43
Sutherland (NSW),2012-01-01 14:00:00 +1000,820.927,27.261,,4.01
Sutherland (NSW),2012-01-01 15:00:00 +1000,725.892,27.436,,3.31
Sutherland (NSW),2012-01-01 16:00:00 +1000,449.474,27.023,,2.37
Sutherland (NSW),2012-01-01 17:00:00 +1000,166.783,26.018,,0.82
Sutherland (NSW),2012-01-01 18:00:00 +1000,39.567,24.678,,0.21
Sutherland (NSW),2012-01-01 19:00:00 +1000,8.96,22.832,,0.05
Sutherland (NSW),2012-01-01 20:00:00 +1000,0.0,21.52,,0.0
Sutherland (NSW),2012-01-01 21:00:00 +1000,0.0,20.969,,
Sutherland (NSW),2012-01-01 22:00:00 +1000,0.0,20.395,,
Sutherland (NSW),2012-01-02 00:00:00 +1000,0.0,19.275,,
Sutherland (NSW),2012-01-02 01:00:00 +1000,0.0,19.096,,
Sutherland (NSW),2012-01-02 02:00:00 +1000,0.0,18.842,,
Sutherland (NSW),2012-01-02 03:00:00 +1000,0.0,18.594,,
Sutherland (NSW),2012-01-02 04:00:00 +1000,0.0,18.179,,
Sutherland (NSW),2012-01-02 05:00:00 +1000,6.255,17.743,,0.0
Sutherland (NSW),2012-01-02 06:00:00 +1000,55.17,18.019,,0.16
Sutherland (NSW),2012-01-02 07:00:00 +1000,255.815,20.374,,0.92
Sutherland (NSW),2012-01-02 08:00:00 +1000,499.0,23.106,,2.55
Sutherland (NSW),2012-01-02 09:00:00 +1000,713.684,24.896,,3.53
Sutherland (NSW),2012-01-02 10:00:00 +1000,846.52,26.575,,4.1
Sutherland (NSW),2012-01-02 11:00:00 +1000,904.822,27.319,,4.45
Sutherland (NSW),2012-01-02 12:00:00 +1000,958.132,27.699,,4.56
Sutherland (NSW),2012-01-02 13:00:00 +1000,922.901,27.916,,4.41
Sutherland (NSW),2012-01-02 14:00:00 +1000,819.745,27.949,,3.97
Sutherland (NSW),2012-01-02 15:00:00 +1000,663.618,27.847,,3.3
Sutherland (NSW),2012-01-02 16:00:00 +1000,452.645,27.633,,2.36
Sutherland (NSW),2012-01-02 17:00:00 +1000,290.709,26.718,,1.5
