Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Sutherland (NSW),2013-01-01 00:00:00 +1000,0.0,22.186,22.7,
Sutherland (NSW),2013-01-01 01:00:00 +1000,0.0,21.659,21.0,
Sutherland (NSW),2013-01-01 02:00:00 +1000,0.0,21.016,22.2,
Sutherland (NSW),2013-01-01 03:00:00 +1000,0.0,19.898,21.1,
Sutherland (NSW),2013-01-01 04:00:00 +1000,0.0,19.329,19.5,
Sutherland (NSW),2013-01-01 05:00:00 +1000,0.408,19.116,18.7,0.0
Sutherland (NSW),2013-01-01 06:00:00 +1000,35.612,19.112,18.6,0.12
Sutherland (NSW),2013-01-01 07:00:00 +1000,109.549,19.36,18.9,0.5
Sutherland (NSW),2013-01-01 08:00:00 +1000,205.657,19.985,20.3,1.45
Sutherland (NSW),2013-01-01 09:00:00 +1000,637.373,21.817,23.2,3.15
Sutherland (NSW),2013-01-01 10:00:00 +1000,794.203,24.044,25.7,3.81
Sutherland (NSW),2013-01-01 11:00:00 +1000,894.477,25.76,27.5,4.19
Sutherland (NSW),2013-01-01 12:00:00 +1000,937.868,27.437,29.7,4.38
Sutherland (NSW),2013-01-01 13:00:00 +1000,924.724,27.306,31.6,4.35
Sutherland (NSW),2013-01-01 14:00:00 +1000,860.742,25.963,30.5,4.09
Sutherland (NSW),2013-01-01 15:00:00 +1000,747.136,25.348,28.7,3.4
Sutherland (NSW),2013-01-01 16:00:00 +1000,501.026,24.277,27.2,2.57
Sutherland (NSW),2013-01-01 17:00:00 +1000,260.638,24.199,25.9,1.3
Sutherland (NSW),2013-01-01 18:00:00 +1000,79.543,23.688,25.3,0.17
Sutherland (NSW),2013-01-01 19:00:00 +1000,20.987,22.968,24.6,0.09
Sutherland (NSW),2013-01-01 20:00:00 +1000,0.0,22.509,23.3,0.0
Sutherland (NSW),2013-01-01 21:00:00 +1000,0.0,21.703,21.0,
Sutherland (NSW),2013-01-01 22:00:00 +1000,0.0,21.146,19.5,
Sutherland (NSW),2013-01-02 00:00:00 +1000,0.0,20.354,19.9,
Sutherland (NSW),2013-01-02 01:00:00 +1000,0.0,19.973,20.5,
Sutherland (NSW),2013-01-02 02:00:00 +1000,0.0,19.901,20.5,
Sutherland (NSW),2013-01-02 03:00:00 +1000,0.0,19.406,20.0,
