Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
St Ives (NSW),2020-03-22 11:00:00 +1000,,,25.0,3.37
St Ives (NSW),2020-03-22 12:00:00 +1000,,,26.4,3.537
St Ives (NSW),2020-03-22 13:00:00 +1000,,,26.8,3.559
St Ives (NSW),2020-03-22 14:00:00 +1000,,,28.0,2.596
St Ives (NSW),2020-03-22 15:00:00 +1000,,,25.2,2.791
St Ives (NSW),2020-03-22 16:00:00 +1000,,,23.1,1.85
St Ives (NSW),2020-03-22 17:00:00 +1000,,,21.7,1.007
St Ives (NSW),2020-03-22 18:00:00 +1000,,,20.0,0.214
St Ives (NSW),2020-03-22 19:00:00 +1000,,,19.8,0.002
St Ives (NSW),2020-03-23 07:00:00 +1000,,,17.6,0.046
St Ives (NSW),2020-03-23 08:00:00 +1000,,,18.1,0.242
St Ives (NSW),2020-03-23 09:00:00 +1000,,,19.0,0.578
St Ives (NSW),2020-03-23 10:00:00 +1000,,,17.0,1.18
St Ives (NSW),2020-03-23 11:00:00 +1000,,,19.1,0.955
St Ives (NSW),2020-03-23 12:00:00 +1000,,,18.3,2.11
St Ives (NSW),2020-03-23 13:00:00 +1000,,,18.2,1.312
St Ives (NSW),2020-03-23 14:00:00 +1000,,,17.7,1.363
St Ives (NSW),2020-03-23 15:00:00 +1000,,,17.4,1.287
St Ives (NSW),2020-03-23 16:00:00 +1000,,,18.4,1.881
St Ives (NSW),2020-03-23 17:00:00 +1000,,,16.7,0.891
St Ives (NSW),2020-03-23 18:00:00 +1000,,,16.7,0.188
St Ives (NSW),2020-03-23 19:00:00 +1000,,,16.4,0.007
St Ives (NSW),2020-03-24 07:00:00 +1000,,,15.8,0.0
St Ives (NSW),2020-03-24 08:00:00 +1000,,,17.0,0.0
St Ives (NSW),2020-03-24 09:00:00 +1000,,,17.5,0.684
St Ives (NSW),2020-03-24 10:00:00 +1000,,,18.6,1.273
St Ives (NSW),2020-03-24 11:00:00 +1000,,,18.5,1.159
St Ives (NSW),2020-03-24 12:00:00 +1000,,,18.1,1.312
St Ives (NSW),2020-03-24 13:00:00 +1000,,,18.4,0.946
St Ives (NSW),2020-03-24 14:00:00 +1000,,,19.0,1.283
St Ives (NSW),2020-03-24 15:00:00 +1000,,,19.2,0.661
St Ives (NSW),2020-03-24 16:00:00 +1000,,,19.7,0.713
St Ives (NSW),2020-03-24 17:00:00 +1000,,,19.6,0.813
St Ives (NSW),2020-03-24 18:00:00 +1000,,,18.9,0.182
St Ives (NSW),2020-03-24 19:00:00 +1000,,,18.7,0.0
St Ives (NSW),2020-03-25 07:00:00 +1000,,,17.0,0.046
St Ives (NSW),2020-03-25 08:00:00 +1000,,,19.3,0.766
St Ives (NSW),2020-03-25 09:00:00 +1000,,,21.8,1.276
St Ives (NSW),2020-03-25 10:00:00 +1000,,,20.9,1.698
St Ives (NSW),2020-03-25 11:00:00 +1000,,,19.5,0.565
St Ives (NSW),2020-03-25 12:00:00 +1000,,,22.4,1.931
St Ives (NSW),2020-03-25 13:00:00 +1000,,,22.9,3.465
St Ives (NSW),2020-03-25 14:00:00 +1000,,,21.9,2.903
St Ives (NSW),2020-03-25 15:00:00 +1000,,,18.9,1.156
St Ives (NSW),2020-03-25 16:00:00 +1000,,,18.2,0.025
St Ives (NSW),2020-03-25 17:00:00 +1000,,,18.4,0.028
St Ives (NSW),2020-03-25 18:00:00 +1000,,,18.4,0.009
St Ives (NSW),2020-03-25 19:00:00 +1000,,,18.1,0.0
St Ives (NSW),2020-03-26 07:00:00 +1000,,,16.6,0.0
St Ives (NSW),2020-03-26 08:00:00 +1000,,,16.2,0.015
St Ives (NSW),2020-03-26 09:00:00 +1000,,,16.5,0.07
St Ives (NSW),2020-03-26 10:00:00 +1000,,,16.9,0.194
St Ives (NSW),2020-03-26 11:00:00 +1000,,,16.4,0.513
St Ives (NSW),2020-03-26 12:00:00 +1000,,,18.9,1.171
St Ives (NSW),2020-03-26 13:00:00 +1000,,,17.8,0.817
St Ives (NSW),2020-03-26 14:00:00 +1000,,,18.9,0.905
St Ives (NSW),2020-03-26 15:00:00 +1000,,,19.9,1.384
St Ives (NSW),2020-03-26 16:00:00 +1000,,,19.4,0.542
St Ives (NSW),2020-03-26 17:00:00 +1000,,,18.7,0.865
St Ives (NSW),2020-03-26 18:00:00 +1000,,,17.7,0.258
St Ives (NSW),2020-03-26 19:00:00 +1000,,,17.2,0.0
St Ives (NSW),2020-03-27 07:00:00 +1000,,,16.9,0.0
St Ives (NSW),2020-03-27 08:00:00 +1000,,,18.8,0.085
St Ives (NSW),2020-03-27 09:00:00 +1000,,,19.6,1.006
St Ives (NSW),2020-03-27 10:00:00 +1000,,,20.1,1.239
St Ives (NSW),2020-03-27 12:00:00 +1000,,,19.8,1.298
