Location,Timestamp,Irradiance (W/m2),System temperature (C),Nearest BOM station temperature (C),PV Yield (kWh)
Sutherland (NSW),2019-01-01 05:00:00 +1000,,,21.0,0.0
Sutherland (NSW),2019-01-01 06:00:00 +1000,,,22.1,0.085
Sutherland (NSW),2019-01-01 07:00:00 +1000,,,24.4,0.455
Sutherland (NSW),2019-01-01 08:00:00 +1000,,,26.6,1.618
Sutherland (NSW),2019-01-01 09:00:00 +1000,,,29.1,2.561
Sutherland (NSW),2019-01-01 10:00:00 +1000,,,31.0,3.266
Sutherland (NSW),2019-01-01 11:00:00 +1000,,,31.3,3.744
Sutherland (NSW),2019-01-01 12:00:00 +1000,,,31.9,3.93
Sutherland (NSW),2019-01-01 13:00:00 +1000,,,32.4,3.855
Sutherland (NSW),2019-01-01 14:00:00 +1000,,,33.0,3.74
Sutherland (NSW),2019-01-01 15:00:00 +1000,,,33.4,3.33
Sutherland (NSW),2019-01-01 16:00:00 +1000,,,33.3,2.637
Sutherland (NSW),2019-01-01 17:00:00 +1000,,,32.2,1.648
Sutherland (NSW),2019-01-01 18:00:00 +1000,,,30.5,0.283
Sutherland (NSW),2019-01-01 19:00:00 +1000,,,28.1,0.072
Sutherland (NSW),2019-01-01 20:00:00 +1000,,,26.7,0.002
Sutherland (NSW),2019-01-02 06:00:00 +1000,,,22.2,0.053
Sutherland (NSW),2019-01-02 07:00:00 +1000,,,23.2,0.399
Sutherland (NSW),2019-01-02 08:00:00 +1000,,,25.3,1.455
Sutherland (NSW),2019-01-02 09:00:00 +1000,,,26.9,2.43
Sutherland (NSW),2019-01-02 10:00:00 +1000,,,28.8,3.329
Sutherland (NSW),2019-01-02 11:00:00 +1000,,,29.8,2.189
Sutherland (NSW),2019-01-02 12:00:00 +1000,,,30.6,3.876
Sutherland (NSW),2019-01-02 13:00:00 +1000,,,31.0,4.018
Sutherland (NSW),2019-01-02 14:00:00 +1000,,,29.4,3.769
Sutherland (NSW),2019-01-02 15:00:00 +1000,,,25.8,1.638
Sutherland (NSW),2019-01-02 16:00:00 +1000,,,24.8,0.24
Sutherland (NSW),2019-01-02 17:00:00 +1000,,,26.0,0.752
Sutherland (NSW),2019-01-02 18:00:00 +1000,,,25.5,0.564
Sutherland (NSW),2019-01-02 19:00:00 +1000,,,24.3,0.092
Sutherland (NSW),2019-01-02 20:00:00 +1000,,,23.6,0.0
Sutherland (NSW),2019-01-03 06:00:00 +1000,,,22.1,0.056
Sutherland (NSW),2019-01-03 07:00:00 +1000,,,22.7,0.427
Sutherland (NSW),2019-01-03 08:00:00 +1000,,,23.7,0.608
Sutherland (NSW),2019-01-03 09:00:00 +1000,,,25.5,2.106
Sutherland (NSW),2019-01-03 10:00:00 +1000,,,27.6,3.185
Sutherland (NSW),2019-01-03 11:00:00 +1000,,,28.4,3.439
Sutherland (NSW),2019-01-03 12:00:00 +1000,,,27.6,2.771
Sutherland (NSW),2019-01-03 13:00:00 +1000,,,26.8,2.041
Sutherland (NSW),2019-01-03 14:00:00 +1000,,,27.4,2.158
Sutherland (NSW),2019-01-03 15:00:00 +1000,,,27.8,3.227
Sutherland (NSW),2019-01-03 16:00:00 +1000,,,27.1,2.636
Sutherland (NSW),2019-01-03 17:00:00 +1000,,,25.7,0.818
Sutherland (NSW),2019-01-03 18:00:00 +1000,,,25.1,0.236
Sutherland (NSW),2019-01-03 19:00:00 +1000,,,24.5,0.092
Sutherland (NSW),2019-01-03 20:00:00 +1000,,,24.0,0.007
Sutherland (NSW),2019-01-04 05:00:00 +1000,,,20.9,0.0
Sutherland (NSW),2019-01-04 06:00:00 +1000,,,21.1,0.063
Sutherland (NSW),2019-01-04 07:00:00 +1000,,,22.2,0.309
Sutherland (NSW),2019-01-04 08:00:00 +1000,,,23.8,0.87
Sutherland (NSW),2019-01-04 09:00:00 +1000,,,25.4,2.276
